id,code,name,user_type_id/id,chart_template_id:id,reconcile
100010_account_template_soor,100010,MAIN CASH A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
100101_account_template_soor,100101,PETTY CASH WITH MHD HASSAN A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
100102_account_template_soor,100102,PETTY CASH WITH MAGED MOHAMED A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
100501_account_template_soor,100501,BANK- NBK 1000432030 A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
100502_account_template_soor,100502,BANK- NBK SUPER 1000432049 A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
100503_account_template_soor,100503,BANK- GULF BANK A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
100504_account_template_soor,100504,BANK- BANK OF BAHARAIN & KUWAIT A/C (220000002194),account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
100505_account_template_soor,100505,BANK- GBK FIXED DEPOSIT A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
100506_account_template_soor,100506,BANK- NBK FD 2022091706 A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
100507_account_template_soor,100507,DEPOSIT A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120001_account_template_soor,120001,CUSTOMERS- ACCOUNT RECEIVABLES A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120002_account_template_soor,120002,ANWAR MUSTAFA TH. ALGHANIM A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120003_account_template_soor,120003,SAGAR TH. AL GHANIM A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120004_account_template_soor,120004,DHALAL ABDUL LATIF AL GHANIM A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120005_account_template_soor,120005,SAGAR ABDUL LATIF AL GHANIM A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120006_account_template_soor,120006,MUHAMMED ABDUL LATIF AL GHANIM A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120007_account_template_soor,120007,BUTHINA AL GHANIM A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120008_account_template_soor,120008,MADAM: WADHA AL BAHAR A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120009_account_template_soor,120009,ADEL & ANWAR MUSTAFA AL GHANIM A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120010_account_template_soor,120010,KHALID TH.AL GHANIM & PARTNERS A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120011_account_template_soor,120011,DR: AHDI AL GHANIM A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120012_account_template_soor,120012,MISHREF VILLA A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120013_account_template_soor,120013,ANWAR VILLA A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120014_account_template_soor,120014,FAHAHEEL COMPLEX A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120015_account_template_soor,120015,KEIFAN VILLA A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120016_account_template_soor,120016,SURRAH VILLA 5A & 5B,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120017_account_template_soor,120017,MUHAMMED VILLA A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120018_account_template_soor,120018,ANWAR VILLA (Ho:10) A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120019_account_template_soor,120019,FINTAS CHALET A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120020_account_template_soor,120020,KHAIRAN CHALET (MHD) A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120021_account_template_soor,120021,KEIFAN VILLA SWIMMING POOL A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120022_account_template_soor,120022,NOORA VILLA A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120501_account_template_soor,120501,STAFF RECEIVABLES A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120502_account_template_soor,120502,THUNIYAN ANWAR ALGHANIM A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120503_account_template_soor,120503,HIND ANWAR AL GHANIM A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120504_account_template_soor,120504,MAHMOUD FARID A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120505_account_template_soor,120505,ABDUL RAHMAN A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120506_account_template_soor,120506,LAWRENCE MASCARENCE A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120507_account_template_soor,120507,MATHEW CHACKO A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120508_account_template_soor,120508,SHAREEF A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120509_account_template_soor,120509,SYED RIZQ A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120510_account_template_soor,120510,MAGED MOHAMED ABDOU EL SHAHHAT A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120511_account_template_soor,120511,ABDULLAH ANWAR ALGHANIM A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120512_account_template_soor,120512,NK JAMES A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120513_account_template_soor,120513,JASEER MADAPPURAM ABOOBAKKAR A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
120601_account_template_soor,120601,SHOUN ALLOWANCE RECEIVABLE A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
130001_account_template_soor,130001,STOCK A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
130101_account_template_soor,130101,NBK BALADIYA LETTER GUARANTY A/C,account.data_account_type_current_assets,l10n_kw.account_kuwait_coa_general,FALSE
130501_account_template_soor,130501,OPENING BALANCE CTRL A/C,account.data_account_type_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
140101_account_template_soor,140101,SHARE ACCOUNT-NBK,account.data_account_type_equity,l10n_kw.account_kuwait_coa_general,FALSE
140102_account_template_soor,140102,SHARE ACCOUNT– UNITED REAL ESTATE,account.data_account_type_equity,l10n_kw.account_kuwait_coa_general,FALSE
